Working Title,Reviewer,Domain,Area,Topic,Cognitive ability,Paper #,Experiment #,Species   (common name),Species         (latin name),Sample size,Publication Year,Peer Reviewed,Full Reference,DOI,Research Kind,Abstract,Notes,
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,5,1,orangutan,pongo abelii,3,2016,Yes,"Mulcahy, N. J. (2016). Orangutans (Pongo abelii) seek information about tool functionality in a metacognition tubes task. Journal of Comparative Psychology, 130(4), 391.",10.1037/com0000046,experimental,"Nonhuman primates appear to engage in metacognition by knowing when they need to search for relevant information for solving the tubes task. The task involves presenting subjects with a number of tubes with only 1 having food hidden inside. Before choosing, subjects look inside the tubes more often when they do not know which 1 contains the food (hidden trials) compared to when they do know this information (visible trials). It is argued, however, that nonmetacognitive general food searching strategies can explain this looking behavior. To address this issue, 3 orangutans were tested with a novel tubes task in which they were only required to seek information about tool functionality. The results showed that subjects had the ability to search for tool functionality but no subject looked significantly more in hidden trials compared to visible trials. Subjects were retested with the same condition and given a second condition in which the cost of a wrong choice was increased. In both conditions, 2 subjects looked significantly more inside the hidden trials compared to the visible trials. Subjects were also tested with the traditional tubes task in which food was hidden inside 1 tube. All subjects looked inside the tubes significantly more in the hidden trials compared to the visible trials. However, subjects conducted more excessive looks compared to when looking for tool functionality. I suggest that excessive searches may be caused by food being a strong stimulus and discuss the relevance of this possibility for metacognitive research involving the tubes task.",,
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,5,2,orangutan,pongo abelii,3,2016,Yes,"Mulcahy, N. J. (2016). Orangutans (Pongo abelii) seek information about tool functionality in a metacognition tubes task. Journal of Comparative Psychology, 130(4), 391.",10.1037/com0000046,experimental,"Nonhuman primates appear to engage in metacognition by knowing when they need to search for relevant information for solving the tubes task. The task involves presenting subjects with a number of tubes with only 1 having food hidden inside. Before choosing, subjects look inside the tubes more often when they do not know which 1 contains the food (hidden trials) compared to when they do know this information (visible trials). It is argued, however, that nonmetacognitive general food searching strategies can explain this looking behavior. To address this issue, 3 orangutans were tested with a novel tubes task in which they were only required to seek information about tool functionality. The results showed that subjects had the ability to search for tool functionality but no subject looked significantly more in hidden trials compared to visible trials. Subjects were retested with the same condition and given a second condition in which the cost of a wrong choice was increased. In both conditions, 2 subjects looked significantly more inside the hidden trials compared to the visible trials. Subjects were also tested with the traditional tubes task in which food was hidden inside 1 tube. All subjects looked inside the tubes significantly more in the hidden trials compared to the visible trials. However, subjects conducted more excessive looks compared to when looking for tool functionality. I suggest that excessive searches may be caused by food being a strong stimulus and discuss the relevance of this possibility for metacognitive research involving the tubes task.",,
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,5,3,orangutan,pongo abelii,3,2016,Yes,"Mulcahy, N. J. (2016). Orangutans (Pongo abelii) seek information about tool functionality in a metacognition tubes task. Journal of Comparative Psychology, 130(4), 391.",10.1037/com0000046,experimental,"Nonhuman primates appear to engage in metacognition by knowing when they need to search for relevant information for solving the tubes task. The task involves presenting subjects with a number of tubes with only 1 having food hidden inside. Before choosing, subjects look inside the tubes more often when they do not know which 1 contains the food (hidden trials) compared to when they do know this information (visible trials). It is argued, however, that nonmetacognitive general food searching strategies can explain this looking behavior. To address this issue, 3 orangutans were tested with a novel tubes task in which they were only required to seek information about tool functionality. The results showed that subjects had the ability to search for tool functionality but no subject looked significantly more in hidden trials compared to visible trials. Subjects were retested with the same condition and given a second condition in which the cost of a wrong choice was increased. In both conditions, 2 subjects looked significantly more inside the hidden trials compared to the visible trials. Subjects were also tested with the traditional tubes task in which food was hidden inside 1 tube. All subjects looked inside the tubes significantly more in the hidden trials compared to the visible trials. However, subjects conducted more excessive looks compared to when looking for tool functionality. I suggest that excessive searches may be caused by food being a strong stimulus and discuss the relevance of this possibility for metacognitive research involving the tubes task.",,
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,6,1,orangutan,pongo pygmaeus,6,2008,yes,"Suda-King, C. (2008). Do orangutans (Pongo pygmaeus) know when they do not remember?. Animal cognition, 11(1), 21-42.",10.1007/s10071-007-0082-7,experimental,"Metacognition refers to the ability to monitor and control one’s own cognitive activities such as memory. Although recent studies have raised an interesting possibility that some species of nonhuman animals might possess such skills, subjects often required a numerous number of training trials to acquire the effective use of metacognitive responses. Here, five orangutans (Pongo pygmaeus) were tested whether they were able to escape spatial memory tests when they did not remember the location of preferred reward in a relatively small number of trials. The apes were presented with two identical cups, under one of which the experimenter hid a preferred reward (e.g., two grapes). The subjects were then presented with a third container, “escape response”, with which they could receive a less preferred but secure reward (e.g., one grape). The orangutans as a group significantly more likely selected the escape response when the baiting of the preferred reward was invisible (as compared to when it was visible) and when the hiding locations of the preferred reward were switched (as compared to when they remained unchanged). Even when the escape response was presented before the final presentation of the memory test, one orangutan successfully avoided the test in which she would likely err. These findings indicate that some orangutans appear to tell when they do not remember correct answers in memory tests.",,
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,7,1,gorilla,gorilla gorilla,4,2013,Yes,"Suda-King, C., Bania, A. E., Stromberg, E. E., & Subiaul, F. (2013). Gorillas’ use of the escape response in object choice memory tests. Animal cognition, 16(1), 65-84.",10.1007/s10071-012-0551-5,experimental,"The ability to monitor and control one’s own cognitive states, metacognition, is crucial for effective learning and problem solving. Although the literature on animal metacognition has grown considerably during last 15 years, there have been few studies examining whether great apes share such introspective abilities with humans. Here, we tested whether four gorillas could meet two criteria of animal metacognition, the increase in escape responses as a function of task difficulty and the chosen-forced performance advantage. During testing, the subjects participated in a series of object choice memory tests in which a preferable reward (two grapes) was placed under one of two or three blue cups. The apes were required to correctly select the baited blue cup in this primary test. Importantly, the subjects also had an escape response (a yellow cup), where they could obtain a secure but smaller reward (one grape) without taking the memory test. Although the gorillas received a relatively small number of trials and thus experienced little training, three gorillas significantly declined the memory tests more often in difficult trials (e.g., when the location of the preferred reward conflicted with side bias) than in easy trials (e.g., when there was no such conflict). Moreover, even when objective cues were eliminated that corresponded to task difficulty, one of the successful gorillas showed evidence suggestive of improved memory performance with the help of escape response by selectively avoiding trials in which he would be likely to err before the memory test actually proceeded. Together, these findings demonstrate that at least some gorillas may be able to make optimal choices on the basis of their own memory trace strength about the location of the preferred reward.",,
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,7,2,gorilla,gorilla gorilla,4,2013,Yes,"Suda-King, C., Bania, A. E., Stromberg, E. E., & Subiaul, F. (2013). Gorillas’ use of the escape response in object choice memory tests. Animal cognition, 16(1), 65-84.",10.1007/s10071-012-0551-5,experimental,"The ability to monitor and control one’s own cognitive states, metacognition, is crucial for effective learning and problem solving. Although the literature on animal metacognition has grown considerably during last 15 years, there have been few studies examining whether great apes share such introspective abilities with humans. Here, we tested whether four gorillas could meet two criteria of animal metacognition, the increase in escape responses as a function of task difficulty and the chosen-forced performance advantage. During testing, the subjects participated in a series of object choice memory tests in which a preferable reward (two grapes) was placed under one of two or three blue cups. The apes were required to correctly select the baited blue cup in this primary test. Importantly, the subjects also had an escape response (a yellow cup), where they could obtain a secure but smaller reward (one grape) without taking the memory test. Although the gorillas received a relatively small number of trials and thus experienced little training, three gorillas significantly declined the memory tests more often in difficult trials (e.g., when the location of the preferred reward conflicted with side bias) than in easy trials (e.g., when there was no such conflict). Moreover, even when objective cues were eliminated that corresponded to task difficulty, one of the successful gorillas showed evidence suggestive of improved memory performance with the help of escape response by selectively avoiding trials in which he would be likely to err before the memory test actually proceeded. Together, these findings demonstrate that at least some gorillas may be able to make optimal choices on the basis of their own memory trace strength about the location of the preferred reward.",,
Meaning of general alarm calls in primates,Mélissa Berthet,Social Cognition,Vocalization,Semantics in primates,Semantics,1,1,Titi monkey,Callicebus nigrifrons,5 groups,2019,Yes,"Commier, S., & Berthet, M. (2019). Commentary: Titi semantics: context and meaning in Titi monkey call sequences. Frontiers in Psychology, 10, 512.",10.3389/fpsyg.2019.00512,other,NA,,
Meaning of general alarm calls in primates,Mélissa Berthet,Social Cognition,Vocalization,Semantics in primates,Semantics,2,1,Titi monkey,Callicebus nigrifrons,11,2012,Yes,"Cäsar, C., Byrne, R. W., Hoppitt, W., Young, R. J., & Zuberbühler, K. (2012). Evidence for semantic communication in titi monkey alarm calls. Animal Behaviour, 84(2), 405-411.",10.1016/j.anbehav.2012.05.010,experimental,"Black-fronted titi monkeys, Callicebus nigrifrons, produce acoustically distinct vocalizations in response to several predator species. Compared to other primates, the calls are remarkably quiet, high-pitched and structurally simple, suggesting that they may not function uniquely as predator-specific warning calls. To address this, we investigated whether conspecifics were able to respond to these calls in adaptive ways, by playing back call series originally given to a perched raptor (caracara) and terrestrial predatory mammals (oncilla and tayra). Monkeys responded strongly and in predator-specific ways. Specifically, listeners preferentially looked upwards when hearing raptor-related calls, and towards the presumed caller when hearing terrestrial predator-related calls. Locomotor responses were generally uncommon, but if they occurred then they were always in the expected direction. We concluded that black-fronted titi monkeys discriminated between calls given to different predators on the basis of their acoustic features and were able to make inferences about the type or likely location of the predator.",,
Meaning of general alarm calls in primates,Mélissa Berthet,Social Cognition,Vocalization,Semantics in primates,Semantics,3,1,Titi monkey,Callicebus nigrifrons,5 groups,2017,Yes,"Schlenker, P., Chemla, E., Cäsar, C., Ryder, R., & Zuberbühler, K. (2017). Titi semantics: Context and meaning in Titi monkey call sequences. Natural Language & Linguistic Theory, 35(1), 271-298.",10.1007/s11049-016-9337-9,other,"Cäsar et al. (2013) show that the structure of Titi monkey call sequences can, with just two call types (A and B), reflect information about predator type and predator location. Using the general methods of Schlenker et al. (2014, 2016, to appear), we ask what these observations show about the ‘linguistic’ structure of Titi calls. We first demonstrate that the simplest behavioral assumptions make it challenging to provide lexical specifications for A- and B-calls: B-calls rather clearly have the distribution of highly underspecified calls; but A-calls are also found in highly heterogeneous contexts (e.g. they are triggered by ‘cat in the canopy’ and ‘raptor on the ground’ situations). We discuss two possible solutions to the problem. One posits that entire sequences are endowed with meanings that are not compositionally derived from their individual parts (a related idea was proposed by Arnold and Zuberbühler to analyze pyow-hack sequences in Putty-nosed monkeys). The second solution, which we consider to be superior, takes sequences to have no structure besides concatenation: the B-call is a general call, the A-call is used for serious nonground threats, and each call reflects information about the environment at the time at which it is uttered. The composition of Cäsar et al.’s sequences is seen to follow from the interaction between call meaning, rules of competition among calls, and more sophisticated assumptions about the environmental context. In the end, a detailed analysis of the division of labor between semantics, pragmatics and the environmental context yields a simple and explanatory analysis of sequences that initially seemed to display a complex mapping between syntax and semantics.",,
Meaning of general alarm calls in primates,Mélissa Berthet,Social Cognition,Vocalization,Semantics in primates,Semantics,4,1,Putty-nosed monkey,Cercopithecus nictitans martini,49 groups,2006,Yes,"Arnold, K., & Zuberbühler, K. (2006). The alarm-calling system of adult male putty-nosed monkeys, Cercopithecus nictitans martini. Animal behaviour, 72(3), 643-653.",10.1016/j.anbehav.2005.11.017,experimental,"We investigated the calls of male putty-nosed monkeys produced in response to playbacks of leopard, Panthera pardus, growls and crowned eagle, Stephanoaetus coronatus, shrieks. Two call types, hacks and pyows were produced and both occurred within alarm-calling sequences regardless of the predator category simulated by the playbacks. Unlike previous studies of alarm calling in guenon monkeys, we therefore could not conclude that the alarm calls of putty-nosed males are functionally referential. There were, however, striking regularities in the patterning of the calls given in response to these stimuli and different call combinations were strongly associated with each of the two predator types. While we concluded that individual calls did not qualify as vehicles of semantic content, these males produced structurally unique call sequences that provided sufficient information for receivers to select appropriate antipredator responses.",,
Meaning of general alarm calls in primates,Mélissa Berthet,Social Cognition,Vocalization,Semantics in primates,Semantics,4,2,Putty-nosed monkey,Cercopithecus nictitans martini,34 groups,2006,Yes,"Arnold, K., & Zuberbühler, K. (2006). The alarm-calling system of adult male putty-nosed monkeys, Cercopithecus nictitans martini. Animal behaviour, 72(3), 643-653.",10.1016/j.anbehav.2005.11.017,experimental,"We investigated the calls of male putty-nosed monkeys produced in response to playbacks of leopard, Panthera pardus, growls and crowned eagle, Stephanoaetus coronatus, shrieks. Two call types, hacks and pyows were produced and both occurred within alarm-calling sequences regardless of the predator category simulated by the playbacks. Unlike previous studies of alarm calling in guenon monkeys, we therefore could not conclude that the alarm calls of putty-nosed males are functionally referential. There were, however, striking regularities in the patterning of the calls given in response to these stimuli and different call combinations were strongly associated with each of the two predator types. While we concluded that individual calls did not qualify as vehicles of semantic content, these males produced structurally unique call sequences that provided sufficient information for receivers to select appropriate antipredator responses.",,
Meaning of general alarm calls in primates,Mélissa Berthet,Social Cognition,Vocalization,Semantics in primates,Semantics,5,1,titi monkey,Callicebus nigrifrons,5 groups,2012,Yes,"Cäsar, C., Byrne, R., Young, R. J., & Zuberbühler, K. (2012). The alarm call system of wild black-fronted titi monkeys, Callicebus nigrifrons. Behavioral Ecology and Sociobiology, 66(5), 653-667.",10.1007/s00265-011-1313-0,observational,"Upon encountering predators, many animals produce specific vocalisations that alert others and sometimes dissuade the predators from hunting. Callicebus monkeys are known for their large vocal repertoire, but little is known about the function and meaning of most call types. We recorded a large number of natural predator responses from five different groups of black-fronted titi monkeys in their Atlantic forest habitat in South Eastern Brazil. When detecting predatory threats, adult group members responded with call sequences that initially consisted of two brief, highpitched calls with distinct frequency contours. Call A was mainly given to raptors but also to predatory capuchin monkeys and other threats within the canopy, while call B was given to predatory or non-predatory disturbances on the ground. In later parts of the sequences, we also recorded a high-pitched unmodulated call C and various low-pitched loud calls. Results therefore suggest that calls A and B provide listeners with rapid and reliable information about the general classes of danger experienced by the caller, while obtaining more specific information through other call types and combinations and behavioural responses. We discuss these findings in relation to current evolutionary theory of primate communication.",,
Meaning of general alarm calls in primates,Mélissa Berthet,Social Cognition,Vocalization,Semantics in primates,Semantics,6,1,redfronted lemurs,Eulemur fulvus rufus,4 groups,2002,Yes,"Fichtel, C., & Kappeler, P. M. (2002). Anti-predator behavior of group-living Malagasy primates: mixed evidence for a referential alarm call system. Behavioral Ecology and Sociobiology, 51(3), 262-275.",10.1007/s00265-001-0436-0,experimental,"Many mammals warn conspecifics with alarm calls about detected predators. These alarm calls are either functionally referential, urgency based, or they can have multiple functions, including predator deterrence. The taxonomic distribution of these alarm call systems is uneven, with primates providing the best-known examples for a functionally referential system and rodents most examples of an urgency-based system. Reports of different alarm call systems in lemurid primates prompted us to examine the anti-predator behavior of two additional lemur species. In an experimental field study we exposed adult redfronted lemurs (Eulemur fulvus rufus) and white sifakas (Propithecus verreauxi verreauxi) to playbacks of vocalizations of their main aerial and terrestrial predators, as well as to their own alarm calls given in response to the presentation of these predators. We scored the subjects’ immediate behavioral responses, including alarm calls, from video recordings made during the first minute following a playback. We found that both species gave specific alarm calls only in response to raptor playbacks and the corresponding alarm calls, whereas calls given in response to carnivores and the corresponding alarm calls were also observed in other situations characterized by high arousal. Other behavioral responses, such as gaze and escape directions, corresponded to the hunting strategies of the two predator classes, suggesting that the corresponding vocalizations were categorized correctly. These two lemur species, which represent different families, have therefore independently evolved a mixed alarm call system, characterized by functionally referential calls for diurnal raptors, but not for carnivores.",,
Meaning of general alarm calls in primates,Mélissa Berthet,Social Cognition,Vocalization,Semantics in primates,Semantics,6,1,white sifakas,Propithecus verreauxi verreauxi,4 groups,2002,Yes,"Fichtel, C., & Kappeler, P. M. (2002). Anti-predator behavior of group-living Malagasy primates: mixed evidence for a referential alarm call system. Behavioral Ecology and Sociobiology, 51(3), 262-275.",10.1007/s00265-001-0436-0,experimental,"Many mammals warn conspecifics with alarm calls about detected predators. These alarm calls are either functionally referential, urgency based, or they can have multiple functions, including predator deterrence. The taxonomic distribution of these alarm call systems is uneven, with primates providing the best-known examples for a functionally referential system and rodents most examples of an urgency-based system. Reports of different alarm call systems in lemurid primates prompted us to examine the anti-predator behavior of two additional lemur species. In an experimental field study we exposed adult redfronted lemurs (Eulemur fulvus rufus) and white sifakas (Propithecus verreauxi verreauxi) to playbacks of vocalizations of their main aerial and terrestrial predators, as well as to their own alarm calls given in response to the presentation of these predators. We scored the subjects’ immediate behavioral responses, including alarm calls, from video recordings made during the first minute following a playback. We found that both species gave specific alarm calls only in response to raptor playbacks and the corresponding alarm calls, whereas calls given in response to carnivores and the corresponding alarm calls were also observed in other situations characterized by high arousal. Other behavioral responses, such as gaze and escape directions, corresponded to the hunting strategies of the two predator classes, suggesting that the corresponding vocalizations were categorized correctly. These two lemur species, which represent different families, have therefore independently evolved a mixed alarm call system, characterized by functionally referential calls for diurnal raptors, but not for carnivores.",,
